Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Adam Pelech (26070338),Adam Pelech,26070338,D/UTIL,3900,PIT@NYI 12/27/2022 07:30PM ET,NYI,6.86
LW,Dillon Dube (26069820),Dillon Dube,26069820,W/UTIL,3900,EDM@CGY 12/27/2022 09:00PM ET,CGY,6.81
D,Evan Bouchard (26070340),Evan Bouchard,26070340,D/UTIL,3900,EDM@CGY 12/27/2022 09:00PM ET,EDM,7.56
RW,Gabriel Vilardi (26069822),Gabriel Vilardi,26069822,W/UTIL,3900,VGK@LA 12/27/2022 10:30PM ET,LA,8.39
C,Kent Johnson (26069522),Kent Johnson,26069522,C/UTIL,3800,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.21
C,Jeff Carter (26069524),Jeff Carter,26069524,C/UTIL,3800,PIT@NYI 12/27/2022 07:30PM ET,PIT,7.36
LW,Jason Zucker (26069826),Jason Zucker,26069826,W/UTIL,3800,PIT@NYI 12/27/2022 07:30PM ET,PIT,8.63
D,Ryan Pulock (26070342),Ryan Pulock,26070342,D/UTIL,3800,PIT@NYI 12/27/2022 07:30PM ET,NYI,7.13
LW,Brandon Saad (26069824),Brandon Saad,26069824,W/UTIL,3800,TOR@STL 12/27/2022 08:00PM ET,STL,6.24
RW,Mikael Granlund (26069828),Mikael Granlund,26069828,W/UTIL,3800,DAL@NSH 12/27/2022 08:00PM ET,NSH,6.46
C,Charlie Coyle (26069526),Charlie Coyle,26069526,C/UTIL,3700,BOS@OTT 12/27/2022 07:00PM ET,BOS,7.34
RW,Barclay Goodrow (26069834),Barclay Goodrow,26069834,W/UTIL,3700,WAS@NYR 12/27/2022 07:00PM ET,NYR,6.43
LW,Teuvo Teravainen (26069830),Teuvo Teravainen,26069830,W/UTIL,3700,CHI@CAR 12/27/2022 07:00PM ET,CAR,7.08
D,Vladislav Gavrikov (26070344),Vladislav Gavrikov,26070344,D/UTIL,3700,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.92
D,Marcus Bjork (26070346),Marcus Bjork,26070346,D/UTIL,3700,BUF@CLS 12/27/2022 07:30PM ET,CLS,7.29
RW,Oliver Wahlstrom (26069832),Oliver Wahlstrom,26069832,W/UTIL,3700,PIT@NYI 12/27/2022 07:30PM ET,NYI,7
D,Brayden McNabb (26070348),Brayden McNabb,26070348,D/UTIL,3700,VGK@LA 12/27/2022 10:30PM ET,VGK,7.56
LW,Josh Bailey (26069842),Josh Bailey,26069842,W/UTIL,3600,PIT@NYI 12/27/2022 07:30PM ET,NYI,5.23
D,Marcus Pettersson (26070354),Marcus Pettersson,26070354,D/UTIL,3600,PIT@NYI 12/27/2022 07:30PM ET,PIT,7.18
RW,Josh Leivo (26069836),Josh Leivo,26069836,W/UTIL,3600,TOR@STL 12/27/2022 08:00PM ET,STL,5.98
D,Jordie Benn (26070352),Jordie Benn,26070352,D/UTIL,3600,TOR@STL 12/27/2022 08:00PM ET,TOR,9.26
C,Adam Ruzicka (26069530),Adam Ruzicka,26069530,C/UTIL,3600,EDM@CGY 12/27/2022 09:00PM ET,CGY,7.64
C,Travis Boyd (26069528),Travis Boyd,26069528,C/UTIL,3600,COL@ARI 12/27/2022 09:00PM ET,ARI,5
RW,Lawson Crouse (26069838),Lawson Crouse,26069838,W/UTIL,3600,COL@ARI 12/27/2022 09:00PM ET,ARI,8.18
LW,Paul Cotter (26069840),Paul Cotter,26069840,W/UTIL,3600,VGK@LA 12/27/2022 10:30PM ET,VGK,4.71
RW,Arthur Kaliyev (26069844),Arthur Kaliyev,26069844,W/UTIL,3600,VGK@LA 12/27/2022 10:30PM ET,LA,7.78
D,Matt Roy (26070350),Matt Roy,26070350,D/UTIL,3600,VGK@LA 12/27/2022 10:30PM ET,LA,8.02
