Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nic Dowd (26069568),Nic Dowd,26069568,C/UTIL,2600,WAS@NYR 12/27/2022 07:00PM ET,WAS,5.85
D,Andrew Peeke (26070478),Andrew Peeke,26070478,D/UTIL,2600,BUF@CLS 12/27/2022 07:30PM ET,CLS,6.05
RW,Kyle Palmieri (26069946),Kyle Palmieri,26069946,W/UTIL,2600,PIT@NYI 12/27/2022 07:30PM ET,NYI,6.3
RW,Danton Heinen (26069954),Danton Heinen,26069954,W/UTIL,2600,PIT@NYI 12/27/2022 07:30PM ET,PIT,4.83
D,Sebastian Aho (26070484),Sebastian Aho,26070484,D/UTIL,2600,PIT@NYI 12/27/2022 07:30PM ET,NYI,4.58
C,David Kampf (26069570),David Kampf,26069570,C/UTIL,2600,TOR@STL 12/27/2022 08:00PM ET,TOR,4.87
LW,Nicholas Robertson (26069948),Nicholas Robertson,26069948,W/UTIL,2600,TOR@STL 12/27/2022 08:00PM ET,TOR,5.64
D,Calle Rosen (26070480),Calle Rosen,26070480,D/UTIL,2600,TOR@STL 12/27/2022 08:00PM ET,STL,6.09
D,T.J. Brodie (26070486),T.J. Brodie,26070486,D/UTIL,2600,TOR@STL 12/27/2022 08:00PM ET,TOR,5.85
D,Timothy Liljegren (26070488),Timothy Liljegren,26070488,D/UTIL,2600,TOR@STL 12/27/2022 08:00PM ET,TOR,5.22
C,Ty Dellandrea (26069572),Ty Dellandrea,26069572,C/UTIL,2600,DAL@NSH 12/27/2022 08:00PM ET,DAL,5.34
